id,queued_time,wait_time,runtime,node_requested,node_used,walltime
547,2191508,15416,14536,64,64,14400
548,2191511,15434,14534,64,64,14400
549,2191526,15438,14534,64,64,14400
550,2191530,15454,14537,1,1,86400
551,2191533,15470,14495,1,1,39600
552,2192456,28,1122,1,1,43200
553,2193367,28,1791,1,1,39600
554,2193632,22,586,16,16,1800
555,2194266,41,1132,1,1,39600
556,2194320,28,2892,1,1,600
557,2195207,26,1810,1,1,1320
558,2195442,26,1142,1,1,3600
559,2196618,39,1156,1,1,39600
560,2196746,28,7271,8,8,7200
561,2197047,26,1787,128,128,2100
562,2197245,24,4900,256,256,4800
563,2197833,28,1119,64,64,2400
564,2197972,27,21708,128,128,21600
565,2198393,21,11538,2,2,86400
566,2198886,21,1915,2,2,129600
567,2199008,20,1180,1,1,60
568,2199408,18,21711,1,1,39600
569,2199795,46,21696,128,128,21600
570,2199796,25,21737,11,11,19800
571,2200152,26,21695,128,128,21600
572,2200214,22,1141,64,64,2400
573,2200546,28,21690,1,1,43200
574,2200804,46,788,1,1,86400
575,2200846,24,1961,128,128,2100
576,2200861,28,749,128,128,21600
577,2200921,85,691,128,128,21600
578,2200922,484,310,128,128,21600
579,2201639,79,800,128,128,21600
580,2201661,81,561,128,128,21600
581,2201680,83,8605,1,1,7200
582,2201681,102,2753,128,128,21600
583,2201717,456,307,128,128,21600
584,2201722,475,222,128,128,21600
585,2201735,481,8406,1,1,1800
586,2201736,499,2554,1,1,86400
587,2201755,768,350,1,1,300
588,2201756,792,242,128,128,21600
589,2201776,1060,8515,128,128,21600
590,2201777,1125,2599,128,128,21600
591,2202053,824,10579,1,1,21600
592,2202189,259,2874,1,1,43200
593,2202836,281,1811,128,128,2100
594,2204762,32,7282,8,8,7200
595,2204949,28,2177,1,1,43200
596,2205325,27,2942,2,2,7200
597,2207180,42,2187,1,1,43200
598,2208316,45,2990,256,256,4800
599,2209419,20,21087,1,1,1800
600,2209916,42,11277,1,1,57600
601,2211361,39,3070,256,256,4800
602,2212391,29,7287,1,1,14220
603,2213399,27,10582,1,1,900
604,2214497,42,3119,256,256,4800
605,2217113,42,14523,64,64,14400
606,2217115,20,14504,64,64,14400
607,2217128,46,14523,1,1,28800
608,2217130,65,14483,64,64,14400
609,2217167,46,14522,1,1,10800
610,2217169,64,14522,64,64,14400
611,2217170,83,14482,64,64,14400
612,2217187,84,14543,1,1,21600
613,2217188,105,14540,1,1,900
614,2217245,67,90,64,64,14400
615,2217247,184,88,64,64,14400
616,2217304,244,14482,1,1,43200
617,2217306,15215,14491,1,1,39600
618,2217332,15763,14485,1,1,7200
619,2217343,15889,14483,1,1,43200
620,2217372,15881,14502,64,64,14400
621,2217383,15888,14503,64,64,14400
622,2217430,15864,14500,64,64,14400
623,2217433,15879,14502,64,64,14400
624,2217444,15907,14520,64,64,14400
625,2217446,15926,14519,64,64,14400
626,2217667,20,3213,256,256,4800
627,2220245,27,7282,1,1,39600
628,2220780,26,21678,1,1,600
629,2221177,78,8699,1,1,7140
630,2221285,36,3968,1,1,10800
631,2221313,44,84,256,256,9000
632,2222225,43,21711,128,128,21600
633,2222344,25,3966,1,1,39600
634,2222540,1495,251,128,128,1800
635,2222657,3568,21706,128,128,21600
636,2222754,1813,2496,1,1,43200
637,2222909,27,6110,64,64,6000
638,2223327,985,228,96,96,1800
639,2223371,3230,22598,1,1,43200
640,2223745,3186,21681,128,128,21600
641,2223756,8162,21707,128,128,21600
642,2223971,2273,12002,1,1,28800
643,2224049,2156,289,1,1,43200
644,2224761,556,1236,225,225,1800
645,2225313,1050,3066,256,256,9000
646,2225375,5178,9727,3,3,89940
647,2225390,1523,3946,1,1,39600
648,2225392,5496,8743,256,256,14400
649,2225431,7111,15429,256,256,18000
650,2225435,14006,14638,128,128,18000
651,2225447,6390,16892,1,1,172800
652,2225925,3531,3059,256,256,9000
653,2226219,362,305,1,1,600
654,2226946,26,250,16,16,1800
655,2227065,1986,2453,1,1,43200
656,2227558,24,89,8,8,3600
657,2227692,29,228,12,12,1800
658,2228167,26,7277,8,8,7200
659,2228459,49,225,1,1,21600
660,2228464,23,500,1,1,7200
661,2228695,43,94,32,32,1800
662,2229067,2992,1009,1,1,10800
663,2229077,19,91,2,2,7200
664,2229249,27,211,1,1,14400
665,2229488,28,380,1,1,39600
666,2229975,1557,282,64,64,1800
667,2230038,1604,93,32,32,1800
668,2230174,1725,555,1,1,39600
669,2230473,8988,20402,128,128,21600
670,2230691,1185,251,1,1,1800
671,2231527,7895,5187,128,128,5100
672,2232562,831,90,32,32,1800
673,2233076,437,2817,64,64,6000
674,2234801,1556,88,2731,2731,4800
675,2235791,21,7305,2,2,17940
676,2236337,3059,3681,1,1,43200
677,2237471,10463,44239,1,1,259200
678,2237483,11741,44324,1024,1024,43200
679,2237549,570,815,64,64,2400
680,2237588,939,846,3,3,7200
681,2237994,37800,44230,1,1,900
682,2238214,1289,10876,96,96,14400
683,2238955,527,1197,64,64,1800
684,2239514,61340,44346,1,1,1740
685,2239612,62313,44240,3,3,1800
686,2239778,8195,15409,1,1,39600
687,2239790,9553,14474,1,1,43200
688,2239795,9586,14496,64,64,14400
689,2239797,10606,14485,11,11,2700
690,2239809,11111,14499,64,64,14400
691,2239811,11125,14521,64,64,14400
692,2239834,11123,93,1,1,43200
693,2239835,11244,89,64,64,14400
694,2239846,11407,112,64,64,14400
695,2239848,12187,94,64,64,14400
696,2239850,12421,96,1,1,43200
697,2239927,47,1202,256,256,3600
698,2240538,2543,4461,1,1,43200
699,2240661,13422,21686,128,128,21600
700,2241227,5815,402,912,912,3600
701,2241300,519,2534,1,1,39600
702,2243098,4414,3418,1,1,900
703,2243320,10784,22609,1,1,25200
704,2243528,29,7272,1,1,43200
705,2244610,2936,5807,4,4,172800
706,2244690,24475,5869,1,1,3600
707,2244709,32031,7322,128,128,21600
708,2244738,39351,5404,1,1,39600
709,2245027,2443,110,1,1,43200
710,2245126,2364,3399,402,402,3600
711,2245147,8482,9693,1,1,39600
712,2247524,475,1319,1,1,39600
713,2249416,1479,175,1,1,14400
714,2249594,1502,153,1,1,63000
715,2249895,17901,1303,912,912,3600
716,2250323,3034,11414,1,1,1800
717,2251501,28,7274,8,8,7200
718,2251856,26,149,256,256,1800
719,2252093,37,137,1,1,3600
720,2252389,11019,4361,466,466,3600
721,2253218,27,244,1,1,39600
722,2253358,22,4834,1,1,43200
723,2253752,19,209,1,1,43200
724,2254241,39510,6519,1,1,83400
725,2254243,39527,158,1,1,7200
726,2254244,39709,6516,1,1,3600
727,2254287,46188,175,1,1,43200
728,2254288,46381,160,1,1,43200
729,2254300,46398,7174,3,3,7200
730,2254327,46388,1262,128,128,21600
731,2254339,46413,1284,128,128,21600
732,2254340,46434,1104,128,128,21600
733,2254524,3715,2969,1,1,7200
734,2256009,34930,9730,1,1,1320
735,2256009,34950,9870,256,256,14400
736,2256010,34968,9770,1,1,39600
737,2256035,13089,4031,256,256,9000
738,2256048,34950,9692,1,1,1800
739,2257933,34285,9877,256,256,14400
740,2257995,11151,3969,256,256,9000
741,2257998,34239,9661,1,1,7200
742,2259441,450,14497,1,1,72000
743,2259454,9731,14505,1,1,43200
744,2259472,27416,14473,64,64,14400
745,2259475,30044,14480,64,64,14400
746,2259479,30060,14499,1,1,14400
747,2259513,34079,14477,64,64,14400
748,2259515,34097,14496,1,1,54000
749,2259518,34115,14496,1,1,6540
